Size: 8

Cube found #1:
(0, 0, 0)
(0, 1, 1)
(0, 2, 2)
(0, 3, 3)
(0, 4, 4)
(0, 5, 5)
(0, 6, 6)
(0, 7, 7)
(1, 0, 1)
(1, 1, 0)
(1, 2, 3)
(1, 3, 2)
(1, 4, 5)
(1, 5, 4)
(1, 6, 7)
(1, 7, 6)
(2, 0, 2)
(2, 1, 3)
(2, 2, 0)
(2, 3, 1)
(2, 4, 6)
(2, 5, 7)
(2, 6, 4)
(2, 7, 5)
(3, 0, 3)
(3, 1, 2)
(3, 2, 1)
(3, 3, 0)
(3, 4, 7)
(3, 5, 6)
(3, 6, 5)
(3, 7, 4)
(4, 0, 4)
(4, 1, 5)
(4, 2, 6)
(4, 3, 7)
(4, 4, 0)
(4, 5, 1)
(4, 6, 2)
(4, 7, 3)
(5, 0, 5)
(5, 1, 4)
(5, 2, 7)
(5, 3, 6)
(5, 4, 1)
(5, 5, 0)
(5, 6, 3)
(5, 7, 2)
(6, 0, 6)
(6, 1, 7)
(6, 2, 4)
(6, 3, 5)
(6, 4, 2)
(6, 5, 3)
(6, 6, 0)
(6, 7, 1)
(7, 0, 7)
(7, 1, 6)
(7, 2, 5)
(7, 3, 4)
(7, 4, 3)
(7, 5, 2)
(7, 6, 1)
(7, 7, 0)

Cube found #2:
(0, 0, 1)
(0, 1, 0)
(0, 2, 2)
(0, 3, 3)
(0, 4, 4)
(0, 5, 5)
(0, 6, 7)
(0, 7, 6)
(1, 0, 0)
(1, 1, 1)
(1, 2, 3)
(1, 3, 2)
(1, 4, 5)
(1, 5, 4)
(1, 6, 6)
(1, 7, 7)
(2, 0, 2)
(2, 1, 3)
(2, 2, 0)
(2, 3, 1)
(2, 4, 6)
(2, 5, 7)
(2, 6, 4)
(2, 7, 5)
(3, 0, 3)
(3, 1, 2)
(3, 2, 1)
(3, 3, 0)
(3, 4, 7)
(3, 5, 6)
(3, 6, 5)
(3, 7, 4)
(4, 0, 4)
(4, 1, 5)
(4, 2, 6)
(4, 3, 7)
(4, 4, 0)
(4, 5, 1)
(4, 6, 2)
(4, 7, 3)
(5, 0, 5)
(5, 1, 4)
(5, 2, 7)
(5, 3, 6)
(5, 4, 1)
